"V1","RHOA (387)","SYNE1 (23345)","PRSS57 (400668)","FOXP1 (27086)","KIF20B (9585)","OR6C1 (390321)","KLHDC7A (127707)","SORCS3 (22986)","RPS6KA4 (8986)","NEFM (4741)","MET (4233)","SMAD2 (4087)","ZNF732 (654254)","ASTN1 (460)","RASA1 (5921)","ACTR10 (55860)","CEBPA (1050)","BCL2L11 (10018)","TSC2 (7249)","PCDHA12 (56137)","SCAF4 (57466)","TGFBR2 (7048)","CSMD2 (114784)","MB21D2 (151963)","ATM (472)","RAF1 (5894)","USF3 (205717)","BCL2 (596)","FBXW7 (55294)","CLK3 (1198)","TRAT1 (50852)","ZC3H4 (23211)","UGT3A2 (167127)","SPTA1 (6708)","AR (367)","CUEDC2 (79004)","ASXL3 (80816)","SETD2 (29072)","KDM6A (7403)","ZBED2 (79413)","NDUFS1 (4719)","LBR (3930)","OR4M1 (441670)","POT1 (25913)","JAK2 (3717)","SMARCD1 (6602)","NWD1 (284434)","MUC16 (94025)","KCNQ5 (56479)","CHEK2 (11200)","PDCD6IP (10015)","ABCA1 (19)","BRCA2 (675)","TP53 (7157)","HEXD (284004)","FBXL4 (26235)","PRKAG1 (5571)","UPF2 (26019)","DNMT3A (1788)","DHX15 (1665)","ARID1B (57492)","DSC3 (1825)","MYOCD (93649)","H3-3A (3020)","ZIM3 (114026)","CNOT3 (4849)","EBF2 (64641)","CHI3L2 (1117)","KCNA4 (3739)","SYT13 (57586)","SPOCK3 (50859)","RICTOR (253260)","SPOP (8405)","ZNF7 (7553)","FAM83B (222584)","RXRA (6256)","MAP3K4 (4216)","PIM1 (5292)","ABCC9 (10060)","SH3RF2 (153769)","NQO1 (1728)","RNF152 (220441)","CIC (23152)","RALB (5899)","ACACB (32)","LOXHD1 (125336)","BCL6 (604)","OR8D1 (283159)","PPP1R3A (5506)","DMXL2 (23312)","OR2A5 (393046)","MYO7B (4648)","U2AF1 (7307)","SACS (26278)","DST (667)","PIK3CD (5293)","PBRM1 (55193)","DNAJA4 (55466)","CDK4 (1019)","AMOT (154796)","H3C2 (8358)","ZSCAN20 (7579)","CHD4 (1108)","CNOT9 (9125)","NPAP1 (23742)","OR1N2 (138882)","ZNF615 (284370)","IRF3 (3661)","OR4A15 (81328)","ATRX (546)","MLLT10 (8028)","FGFR1 (2260)","LYST (1130)","KMT2D (8085)","PDSS1 (23590)","CARD11 (84433)","ERCC3 (2071)","GPR107 (57720)","FMN2 (56776)","FLACC1 (130540)","RAD50 (10111)","NFATC2 (4773)","TGFB1 (7040)","NLRP4 (147945)","ZHX3 (23051)","SRCIN1 (80725)","SF3B1 (23451)","PTP4A3 (11156)","HFM1 (164045)","ACVR1B (91)","ZNF180 (7733)","MLH1 (4292)","DENND4C (55667)","HCRTR2 (3062)","RTKN2 (219790)","DICER1 (23405)","EPHB1 (2047)","DCAF12L2 (340578)","ZDBF2 (57683)","IDH1 (3417)","CNTNAP2 (26047)","ALK (238)","ZNF534 (147658)","SOX30 (11063)","FGFR3 (2261)","SLCO6A1 (133482)","NFE2L2 (4780)","ZNF140 (7699)","FAM174C (55009)","MYCN (4613)"
"ACH-000015",0.7962,1.0919,0.6406,0.7962,1.2791,1.1402,0.9821,1.2791,1.0681,0.5578,1.2043,0.8136,0.7728,1.2185,0.5713,1.1943,0.6366,1.1969,0.6458,0.5713,1.173,0.7962,0.9821,1.1971,1.0681,0.7962,1.1971,0.8136,0.6546,1.2235,1.1971,0.6371,1.7319,1.2185,0.5668,1.2791,0.8136,0.7962,0.5668,1.1971,0.9047,1.367,1.1943,1.2043,0.6182,1.1402,0.6438,0.6438,1.1922,0.6434,0.7962,0.606,0.6117,0.6774,1.2511,1.3137,1.1402,1.0062,1.1969,0.7395,1.0919,0.8136,0.6774,1.367,0.6606,0.6607,0.5578,1.0612,0.9309,0.9309,0.6546,1.7319,1.2511,1.595,1.1922,0.606,1.0919,1.1922,0.7515,0.5713,1.2656,0.8136,0.6371,1.1969,1.1402,0.8136,1.1971,1.0681,1.2043,0.6158,1.3268,0.9047,0.9895,0.6117,1.1922,0.9821,0.7962,1.2235,1.1402,0.5668,1.1922,0.9821,0.7515,0.9047,0.6158,0.606,0.6607,0.6371,0.9309,0.5668,1.0062,2.3736,1.367,1.1402,1.0062,1.0421,0.9047,0.606,1.367,0.9047,0.5713,1.1567,0.6371,0.6606,1.1567,1.2511,0.9047,1.4491,0.9821,1.1402,0.6371,0.7962,0.6182,1.1922,1.2791,1.0011,1.1971,0.5668,0.9047,0.9047,1.3268,1.1969,0.6607,0.5713,0.7728,0.5713,0.9047,1.0933,0.6406,1.1969
"ACH-003438",1.2903,0.8792,0.6912,1.2903,0.6758,1.1687,1.0047,0.6758,1.0196,0.9735,1.0131,0.9041,0.9729,0.9841,1.4293,0.8822,0.6912,0.9979,1.0143,1.4293,0.9161,1.2903,1.0047,1.2903,0.9714,1.2903,1.2903,0.9041,0.9729,1.4316,1.2903,0.7092,1.4293,0.9841,1.2546,0.6758,0.9041,1.2903,1.2546,1.2903,0.9727,0.9721,0.8822,1.0131,0.9633,1.1687,0.6912,0.6912,0.8965,0.9234,1.2903,1.002,0.8695,1.0221,1.3605,0.8965,1.1687,0.6627,0.9879,0.9729,0.8792,0.9041,0.9136,0.9721,0.7089,0.6633,0.9735,0.9827,0.9903,0.9903,0.9729,1.4293,1.3605,1.0236,0.8965,1.002,0.8792,0.9488,1.1687,1.4293,1.0143,0.9041,0.7092,0.9979,1.1632,0.9041,1.2903,0.9714,1.0131,1.4316,1.0131,0.9979,0.9161,0.8695,0.8965,1.0047,1.2903,1.4316,1.1687,1.2546,0.8983,1.0047,1.1687,0.9727,1.4316,1.002,0.7092,0.7092,0.9903,1.2546,0.6627,0.9735,0.9214,1.1687,0.6627,1.0131,0.9979,1.002,0.9214,0.9727,1.4293,1.0219,0.7092,0.7089,1.0219,1.3605,0.9727,1.0236,0.9827,1.1687,0.7092,1.2903,0.9633,0.8965,0.6758,0.8822,1.2903,1.2546,0.9727,0.9727,1.0131,0.9879,0.6633,1.4293,0.9729,1.4293,0.9436,1.1632,0.6912,0.9879
"ACH-000851",0.8507,0.8365,0.839,0.8626,1.2382,1.252,0.8593,1.2382,0.855,0.8594,0.853,0.8336,0.8676,1.3983,0.8591,0.7754,0.8424,0.841,0.8417,0.8591,1.1066,0.86,0.8593,0.8346,0.855,0.86,1.2935,0.8336,0.8676,1.7319,0.8626,0.8672,2.4122,1.6877,0.5118,1.2382,0.8336,0.8507,0.3962,0.8626,0.8306,1.3983,1.5063,0.853,0.4249,1.252,0.8424,0.839,0.4357,0.842,0.8507,1.3051,0.8595,0.8403,0.8374,1.2795,1.252,1.6283,1.2559,0.8676,0.8365,0.8336,0.8403,1.3983,0.8802,0.7787,0.8594,0.8826,0.855,0.855,0.8676,2.4122,1.2909,1.6179,1.288,1.3051,0.8365,1.288,1.2938,0.8591,1.2785,0.8336,0.8672,0.841,0.831,0.8336,0.8346,0.855,0.853,1.009,0.8842,0.841,1.1066,0.8595,1.288,0.8593,0.714,1.7319,1.252,0.5118,1.288,0.8593,1.266,0.8306,1.3825,1.3051,0.7787,0.8672,0.855,0.5118,1.6283,0.8594,1.3983,1.252,1.6283,1.2932,0.841,1.3051,1.3983,0.8306,0.8591,1.2593,0.8672,0.8802,1.2903,1.2658,0.8306,1.6179,0.8593,1.252,0.8672,0.8507,0.4249,1.288,0.8196,0.8397,1.2935,0.5118,0.8306,0.8306,0.8842,1.2559,0.7787,0.8591,0.8676,0.8591,0.7682,0.831,0.839,1.254
"ACH-001517",1.2064,0.506,0.8895,0.9588,0.8787,1.1976,0.8313,1.074,1.1912,1.1594,1.1893,0.7509,0.5982,1.1473,1.1269,0.846,0.81,1.3979,1.208,1.1594,0.8098,1.141,1.1265,1.1179,1.1179,1.141,1.1483,0.8402,0.592,0.8696,1.1483,0.8749,1.1171,1.1473,0.5103,0.8787,0.8156,1.2064,0.9597,1.1483,0.8396,1.0914,0.5972,1.1893,0.8197,1.7425,0.5831,0.8449,1.1752,0.8521,1.141,1.2037,1.1149,1.1258,1.2334,1.1752,1.7425,0.8462,0.5771,0.554,0.5945,0.8156,0.9262,1.0914,0.8413,0.7071,1.1594,1.1686,1.1316,1.1316,0.592,1.1171,1.1578,1.0172,1.1752,1.2037,0.5945,1.1752,1.1215,1.1594,1.1344,0.7105,0.8749,1.399,1.1398,0.5625,1.1179,1.1179,1.1893,0.8696,1.1893,1.399,0.8564,1.1149,1.1752,1.0919,0.6451,0.8696,1.1976,0.5103,0.5844,1.1265,0.8343,0.8532,0.8696,1.2037,0.7071,0.8749,1.1432,0.5103,0.8462,1.1594,0.9025,1.7425,0.8462,1.4715,1.399,1.2037,0.9025,0.8396,1.1594,1.2501,0.8749,0.8413,1.4341,1.1663,0.8396,0.9745,1.1686,1.1976,0.8749,1.141,0.8197,1.1752,0.8787,0.846,1.1557,0.5103,0.8396,0.8396,1.2354,1.1539,0.7071,1.1594,0.5982,0.6154,0.7893,0.5518,0.8895,0.5594
"ACH-000909",0.9425,0.9339,0.9889,0.9425,1.4099,0.9498,0.954,1.4099,0.9509,0.9288,0.943,0.9175,0.9245,1.4082,0.9363,0.9476,0.9868,1.3859,1.4275,0.9431,0.9435,0.9398,0.954,0.9425,0.9509,0.9398,0.9425,0.9175,0.9245,0.9467,0.9425,0.9868,0.9363,1.4082,0.9108,1.4099,0.9175,0.9425,0.9108,0.9425,1.3859,1.4082,0.9476,0.943,0.9519,0.9498,0.9889,0.9889,0.9339,0.8605,0.9398,0.9519,0.93,0.9685,0.9685,0.9339,0.9498,1.395,1.3859,0.9245,0.9339,0.9175,0.9685,1.4082,0.9868,0.9868,0.9288,0.954,0.9489,0.9489,0.9245,0.9363,0.9685,0.9304,0.9339,0.9519,0.9339,0.9339,0.9498,0.9431,0.9689,0.9175,0.9868,1.3859,0.9498,0.9175,0.9425,0.9509,0.943,0.9467,0.943,1.3859,0.9435,0.93,0.9339,0.9613,0.9425,0.9409,0.9498,0.9108,0.9339,0.954,0.9498,1.3859,0.9552,0.9519,0.9868,0.9868,0.9489,0.9108,1.395,0.9288,1.4082,0.9498,1.395,0.943,1.3859,0.9519,1.4082,1.3859,0.9431,0.9543,0.9868,0.9868,0.9543,0.9685,1.3859,0.9304,0.954,0.9498,0.9868,0.9398,0.9519,0.9339,1.4099,0.9476,0.9425,0.9108,1.3859,1.3859,0.943,1.3859,0.9868,0.9431,0.9245,0.9431,1.3859,0.9498,0.9889,1.3859
"ACH-001408",1.0801,1.0671,1.0247,1.0801,1.0574,1.0304,1.0631,1.0574,1.0737,1.0788,1.0655,0.5334,1.6511,1.0743,0.5407,1.0846,1.0247,1.0669,1.0204,1.0693,1.0689,1.0801,1.0691,1.222,0.4289,1.0801,1.0823,0.5334,1.0878,1.0644,1.0823,1.0247,1.0459,1.0743,0.4845,1.0574,0.5334,1.0801,0.4845,1.0823,1.0553,1.0743,1.1095,1.0655,0.9343,1.0304,1.0247,1.0247,1.0671,1.0347,1.0801,1.0421,1.0648,0.5321,1.0679,1.0671,1.0304,0.9029,1.0669,1.0898,1.0671,0.5334,0.5114,1.0743,1.0247,1.0247,1.0788,1.0743,0.5374,0.5374,1.0878,1.0459,1.0679,0.5326,1.0671,1.0421,1.0671,1.0671,1.0318,1.0693,1.0206,0.5334,1.0247,1.0669,1.0304,0.5334,1.222,1.0518,1.0655,1.0644,1.0811,1.0669,1.0602,1.0648,1.0671,1.0554,1.0801,1.0644,1.0304,0.4942,1.5924,1.0691,1.0318,1.0553,1.0644,1.0421,1.0247,1.0247,1.0737,0.4845,0.4918,1.0788,1.0743,1.0304,0.4918,1.0655,1.0669,1.0421,1.0743,1.0553,1.1034,1.5545,1.0247,1.0247,1.5545,1.0618,1.0553,0.5326,1.0743,1.0304,1.0247,1.0801,0.9343,1.0671,1.0574,1.0439,1.0823,0.4942,1.0553,1.0553,1.0811,1.0669,1.0247,1.0693,1.6511,1.1034,1.0669,1.0304,1.0247,1.0669
"ACH-001399",1.5041,0.9583,1.0536,1.5041,1.009,1.0745,0.8173,1.009,0.9943,0.7584,1.7139,0.7549,0.7691,0.8173,1.0465,0.8026,1.0536,0.9857,0.8009,1.0465,1.0949,1.5041,0.8173,1.5041,0.9624,1.5041,1.5041,0.7549,0.7691,0.7863,1.5041,1.0536,1.0465,0.8173,0.5247,1.009,0.7549,1.5041,0.5247,1.5041,1.188,0.8173,0.3383,1.5701,1.4852,1.3155,1.0536,1.0536,0.9775,0.9667,1.5041,1.4852,0.7801,1.2574,1.0683,0.9775,1.3155,1.009,0.9837,0.7691,0.9583,0.7549,0.7511,0.8173,1.073,1.0536,0.7584,0.8173,0.9954,0.9954,0.7691,1.0465,0.7649,1.2733,0.9775,1.4852,0.9583,0.9775,1.3509,1.0465,0.8009,0.7549,1.0536,0.9857,1.0295,0.7549,1.5041,0.9624,1.6449,0.7863,1.4216,0.9857,1.0949,0.7801,0.9775,0.8173,1.5041,0.7863,1.0745,0.5247,0.9775,0.8173,1.2984,1.188,0.7863,1.4852,1.0536,1.0536,0.9954,0.5247,1.009,0.7584,0.8173,1.3155,1.009,1.5624,0.9857,1.4852,0.8173,0.9466,1.0465,1.852,1.0536,1.073,1.852,1.0144,0.9466,1.2733,0.8173,1.3155,1.0536,1.5041,1.4852,0.9775,1.009,0.8026,1.5041,0.5247,1.188,1.188,1.421,0.9837,1.0536,1.0465,0.7691,1.0465,0.9535,1.0295,1.0536,0.9837
"ACH-001302",1.0704,1.052,1.1324,1.0704,1.0483,1.0351,0.54,1.0483,1.0598,1.0491,1.0627,1.5734,1.0735,1.0623,1.053,1.0471,1.0786,1.052,1.06,1.053,1.0658,1.0704,0.54,1.0704,1.0598,1.0704,1.0704,1.5734,1.0761,1.0469,1.0704,0.5637,1.053,1.0623,0.9683,1.0483,1.5734,1.0704,0.9683,1.0704,1.0631,1.0709,1.0471,1.0627,1.0477,1.0351,1.0786,1.0786,1.052,1.0778,1.0704,1.0477,1.0625,0.5289,2.1826,1.052,1.0351,1.0483,1.0966,1.0735,1.052,1.5734,0.5289,1.0709,0.5225,0.4311,1.0491,1.0623,1.0598,1.0598,1.0761,1.053,2.1826,1.0491,1.052,1.0477,1.052,1.052,1.0351,1.053,1.06,1.5734,0.5637,1.052,1.0351,1.5734,1.0704,1.0598,1.0627,1.0469,1.0627,1.052,1.0658,1.0625,1.052,0.54,1.0704,1.0469,1.0351,0.9683,1.0324,0.54,1.0351,1.0631,1.0469,1.0477,0.5637,0.5637,1.0598,0.9683,1.0483,1.0491,1.0709,1.0351,1.0483,1.0579,1.052,1.0477,1.0709,1.0631,1.053,1.087,0.5637,0.5515,1.087,1.6293,1.0631,1.0491,0.54,1.0351,0.5637,1.0704,1.0477,1.052,1.0483,1.0471,1.0704,0.9683,1.0631,1.0631,1.0627,1.052,0.4311,1.053,1.0735,1.053,1.052,1.1151,1.1324,84.2793
"ACH-000323",1.0393,1.1467,0.9806,1.0393,0.9928,0.8793,0.9885,0.9928,1.166,0.7777,0.782,1.0247,0.9906,0.7874,0.6811,1.3826,1.012,1.2287,0.9985,1.0707,1.47,1.053,1.4929,0.8002,1.205,1.0521,0.7958,1.0247,0.7976,1.1512,0.7958,1.0208,1.5196,0.7881,0.4768,0.9928,1.0247,1.0393,0.2506,0.7958,1.2215,0.7874,2.141,0.782,1.2465,0.8793,1.012,1.012,1.2026,1.0347,1.053,0.8074,0.565,0.9297,1.2545,1.2026,0.8793,0.9928,0.7698,1.1254,1.1467,1.0247,0.9297,0.7874,1.0688,1.0443,0.7777,1.5868,0.7289,0.7289,0.7976,1.5196,0.7901,1.1904,0.9172,0.783,1.1467,0.9172,0.8669,1.0707,1.1062,1.0247,1.012,1.2287,1.1255,1.0247,0.8002,1.205,0.782,1.1512,0.743,1.2287,1.47,0.565,0.9172,0.9885,1.0393,1.1512,1.6361,0.4768,1.0255,1.4929,0.8759,1.2215,1.1512,0.8074,1.0443,1.0208,1.1514,0.4768,0.9928,0.7777,0.7874,0.8793,0.9928,1.4458,1.2287,0.8074,0.7874,1.2215,1.0707,1.8815,1.012,1.0688,1.586,0.7901,1.2215,1.1904,1.5359,0.8793,1.012,1.053,0.5545,0.9172,0.9928,1.4088,0.7958,0.4768,1.2215,1.2215,0.743,0.7698,1.0443,1.0707,0.9906,0.6811,1.2215,0.8396,0.9806,0.7698
"ACH-001345",1.0116,1.0111,0.9969,1.0116,1.0192,0.9865,1.0202,1.0192,1.0136,1.0008,1.0114,0.9721,1.0115,1.0202,0.994,0.9925,0.9969,0.9896,0.998,1.0226,0.9851,1.0116,1.0202,1.0116,1.0136,1.0116,1.0116,0.9721,1.0103,1.0059,1.0116,0.9969,0.994,1.0202,0.8927,1.0192,0.9721,1.0116,0.8927,1.0116,0.9832,0.9865,0.9925,1.0114,1.0051,0.9865,0.9969,0.9969,1.0111,0.9986,1.0116,1.0051,1.0019,1.002,1.002,1.0111,0.9865,0.9902,0.9896,1.0115,1.0111,0.9721,1.002,0.9865,1.0117,0.8171,1.0008,1.0202,1.0136,1.0136,1.0103,0.994,1.002,1.0008,1.0111,1.0051,1.0111,1.0111,0.9865,1.0226,0.998,0.9721,0.9969,0.9896,0.9865,0.9721,1.0116,1.0136,1.0114,1.0059,1.0114,0.9896,0.9851,1.0019,1.0111,1.0202,1.0116,1.0059,0.9865,0.8927,0.9995,1.0202,0.9865,0.9832,1.0059,1.0051,0.8171,0.9969,1.0136,0.8927,0.9902,1.0008,0.9865,0.9865,0.9902,1.0114,0.9896,1.0051,0.9865,0.9832,1.0226,1.0098,0.9969,1.0117,1.0098,1.002,0.9832,1.0008,1.0202,0.9865,0.9969,1.0116,1.0051,1.0111,1.502,0.9925,1.0116,0.8927,0.9832,0.9832,1.0114,0.9896,0.8171,1.0226,1.0115,0.994,0.9896,0.9865,0.9969,0.9896
"ACH-001625",0.8565,0.8538,0.8427,0.8565,0.8696,0.9119,0.9104,1.1115,1.7303,1.0239,1.1173,0.4182,0.8734,0.866,1.3904,0.8292,0.8788,0.9903,1.0244,1.4444,1.2547,0.8868,0.9104,1.1925,0.9086,1.418,0.741,0.4668,0.6694,1.1933,0.741,0.8807,1.7909,0.866,0.4326,1.1268,0.4343,0.8565,0.3892,0.741,1.0889,0.866,1.2002,1.1173,1.0832,0.9119,1.1992,0.8427,0.8538,1.522,0.8868,0.9329,0.7093,1.1618,1.1531,0.8538,0.9119,0.7998,0.7625,0.9484,0.8538,0.4343,1.1618,0.866,0.8798,0.8807,1.0239,0.9286,1.1971,1.2186,0.4451,1.7909,1.2109,1.035,0.8538,1.1684,0.8538,0.8538,1.3732,1.4444,0.8241,0.391,0.9124,0.9903,0.84,0.7097,1.1925,0.9086,1.1173,1.1933,0.81,0.9903,1.2547,0.7093,0.8538,0.9104,0.8565,1.1933,0.9119,0.4326,0.8499,0.9104,1.3403,1.0794,0.9879,0.9329,0.8807,0.8807,1.2213,0.4326,0.7998,1.0239,0.8488,0.9119,0.7998,0.8675,0.9903,1.1684,0.8391,1.0889,1.4444,1.4993,0.9124,0.8798,1.4993,1.1824,1.0889,1.035,0.9286,0.9119,0.8807,0.8868,0.5162,0.8538,1.3328,1.9377,1.1231,0.4346,1.0889,1.0889,0.81,0.7625,0.8807,1.4444,1.2928,1.4444,1.0818,0.84,0.8427,0.7625
"ACH-000751",0.3295,1.2468,0.645,0.6424,1.174,0.9591,0.9651,1.174,0.9542,0.9299,0.6515,0.9278,0.9085,1.2293,0.9562,0.68,1.2217,0.9441,0.9449,0.9574,0.9599,0.9318,0.9651,0.64,0.3408,0.9296,0.9352,0.9278,1.1944,0.9512,0.9352,1.2217,0.9562,1.2293,0.6127,1.174,0.9278,0.9318,0.6127,0.9352,0.9441,1.2293,0.791,0.6515,10.7656,1.0008,1.163,1.5216,1.2468,0.9632,0.9318,0.9482,0.6456,1.2429,0.9581,1.2468,1.0008,1.0835,0.9672,0.9085,1.2468,0.9278,0.6142,1.2293,1.2544,1.2217,0.9299,0.967,0.9542,0.9542,1.1944,0.9562,0.9581,1.5422,1.2468,0.9482,1.2468,1.2468,1.0008,0.9574,0.9516,0.9278,1.2217,0.9441,0.9591,0.9278,0.64,1.535,0.6515,0.9512,0.6354,0.9441,1.5151,0.6456,1.2468,0.954,0.9389,0.9512,0.9591,0.6127,1.2468,0.9651,1.0008,0.9441,0.9483,0.9482,1.2217,1.2217,0.9542,0.6127,1.0835,1.5422,1.2293,1.0008,1.0835,0.6364,0.9441,0.9482,1.2293,0.9441,0.9574,0.9585,1.2217,1.2544,0.9585,0.9581,0.9441,1.5422,0.967,1.0008,1.2217,0.9318,0.6505,1.2468,1.174,0.68,0.9352,0.6127,0.9441,0.9441,0.6354,0.9672,1.2217,0.9574,0.9085,0.96,0.9441,0.9582,0.645,0.9672
"ACH-001958",0.4763,1.0418,1.5089,0.4779,0.9581,0.9874,1.423,0.9581,0.914,0.9444,0.9841,0.9376,0.859,1.423,0.9279,0.9656,0.4797,0.9684,0.9543,0.9279,1.0275,0.4763,1.423,1.0458,0.914,0.4763,1.0458,0.9376,0.8586,1.3702,1.0458,0.4852,1.3041,1.423,0.7353,0.9581,0.9376,0.4763,0.7353,1.0458,0.9566,1.4847,0.9056,0.9841,0.9467,0.9874,1.4449,1.4351,1.0968,0.9591,0.4763,0.9446,1.4078,0.9955,1.4068,1.0968,0.9874,0.881,0.9802,0.9771,1.0418,0.9376,0.9955,1.4847,0.4848,0.4553,0.9444,1.423,0.914,0.914,0.8586,1.3041,1.4091,0.9623,1.0968,0.9446,1.0418,1.0968,0.9874,0.9279,0.9906,0.9376,0.4849,0.9684,0.9874,0.9376,1.0458,0.914,0.9841,1.3702,0.9841,0.9684,1.0275,1.4078,1.0968,1.4513,0.4779,1.3702,0.9874,0.4063,1.464,1.423,0.9874,0.9566,1.3702,0.9446,0.4553,0.4852,0.914,0.7353,0.881,0.9444,1.4847,0.9874,0.881,0.9841,0.9684,0.9446,1.5638,0.9566,0.9279,1.0079,0.4849,0.4848,1.0079,1.4091,0.9566,0.9623,1.423,0.9874,0.4852,0.4763,0.9467,1.0968,0.9581,0.9656,1.0458,0.8024,0.9566,0.9566,0.9841,0.9802,0.4553,0.9279,0.859,0.9279,0.9566,0.9874,1.5089,0.9802
"ACH-001125",1.1084,1.3342,1.0996,1.1084,0.7606,0.8253,1.2173,0.7606,0.7054,1.0766,1.6379,0.7503,0.6464,1.0598,1.1696,0.7692,1.2847,0.6659,0.9484,1.1696,1.4839,1.1084,1.231,1.1084,0.7199,1.1084,1.1084,0.7503,0.6464,1.1048,1.1084,1.2847,1.1696,1.0598,0.6625,0.7606,0.7503,1.1084,0.6625,1.1084,0.6487,1.0843,0.7692,1.6379,1.3246,0.8253,1.0996,1.0996,1.3342,0.7442,1.1084,1.2887,0.7686,0.79,0.7248,1.3342,0.8253,0.7606,0.7975,0.6464,1.3342,0.7503,0.79,1.0843,1.2809,1.2847,1.0766,1.2658,0.7054,0.7054,0.6464,1.1696,0.7248,1.0766,1.1494,1.2455,1.3342,1.1494,0.8253,1.1696,1.0218,0.7503,1.2847,0.6659,0.8253,0.7503,1.1084,0.7199,1.6379,1.1048,1.5743,0.6659,1.4839,0.7686,1.1494,1.2173,1.1084,1.1048,0.8253,0.6625,1.3164,1.231,0.8253,0.6487,1.1048,1.2887,1.2847,1.2847,0.7054,0.6625,0.7606,1.0766,1.0843,0.8253,0.7606,1.7501,0.6659,1.2455,1.0843,0.6487,1.1696,1.2796,1.2847,1.2809,1.2796,0.7248,0.6487,1.0766,1.2658,0.8253,1.2847,1.1084,1.3246,1.1494,0.7606,0.7692,1.1084,0.6625,0.6487,0.6487,1.5743,0.7975,1.2847,1.1696,0.6464,1.1696,0.8068,0.8253,1.0996,0.7975
"ACH-000745",1.0022,1.0095,1.0067,1.0022,0.5164,0.9985,0.9985,0.5164,0.9982,0.9967,1.0138,0.998,0.9945,1.9847,1.0052,1.0021,1.0093,0.9898,0.9966,1.0052,1.0003,1.0022,0.9985,1.0022,1.0011,0.9873,1.0022,0.998,1.5446,1.0094,1.0022,1.0093,1.0052,1.9847,0.5002,0.5164,0.998,1.0022,0.5002,1.0022,0.9898,1.4909,0.9965,1.0138,0.9962,0.9985,1.0067,1.0067,0.9891,0.9852,1.0022,1.5589,1.0084,0.9972,0.9943,1.0095,0.9985,1.0194,1.0016,0.9945,0.994,0.998,0.9972,1.4909,1.0346,1.0346,0.9967,0.9985,1.0066,1.0066,0.9952,1.0052,0.9943,0.9989,0.9891,1.0007,0.994,0.9891,0.9985,1.0052,0.9857,0.998,1.0093,0.9898,0.9985,0.998,1.0022,1.0011,1.0138,1.0094,1.0138,0.9898,1.0003,1.0084,0.9891,0.9993,1.0022,1.0094,0.9985,0.5002,0.9891,0.9985,0.9985,0.9898,1.0356,1.0007,1.0346,1.0093,1.0066,0.5002,1.0194,0.9967,1.4909,0.9985,1.0194,1.0052,0.9898,1.0007,1.4909,0.9898,1.0052,1.0077,1.0093,1.0346,1.0077,0.9943,0.9898,0.9989,0.9985,0.9985,1.0093,1.0022,0.9962,0.9891,0.5164,1.0021,1.0022,0.5002,0.9898,0.9898,1.0138,1.0016,1.0346,1.0052,0.9945,1.0052,0.9898,0.9977,1.0067,1.0016
"ACH-002343",0.9991,1.0595,1.0209,0.9991,1.003,1.0133,0.9966,1.003,0.9959,0.9988,1.0014,1.0048,0.9969,0.9966,0.9862,0.9893,1.0209,0.9917,1.0062,0.9979,0.9986,0.9991,0.9966,0.9991,0.9959,0.9991,0.9991,1.0048,0.9969,0.9735,0.9991,1.0209,0.9821,0.9966,0.8504,1.003,1.0048,0.9991,0.8504,0.9991,0.9917,1.0157,1.6057,1.0014,1.0179,1.0133,1.0209,1.0209,1.0595,1.0128,0.9991,1.0246,0.9977,1.0046,1.0046,1.0595,1.0133,1.003,0.9954,0.9969,1.0595,1.0048,1.0046,1.0157,1.0209,1.0209,0.9988,0.9966,0.9959,0.9959,0.9969,0.9821,1.0046,0.9988,1.0595,1.0246,1.059,1.0595,1.0133,0.9979,1.0062,1.0048,1.0209,0.9917,1.0133,1.0048,0.9991,0.9959,1.0014,0.9735,1.0014,0.9917,0.9986,0.9977,1.0595,1.0099,0.9991,0.9735,1.0133,0.8504,1.2733,0.9966,1.0133,0.9917,0.9735,1.0246,1.0209,1.0209,0.9959,0.8504,1.003,0.9988,1.0157,1.0133,1.003,1.0014,0.9917,1.0246,1.0157,0.9917,0.9862,0.9944,1.0209,1.0209,0.9944,1.0046,0.9917,0.9988,0.9966,1.0133,1.0209,0.9991,1.0179,1.0595,1.003,0.9931,0.9991,0.8504,0.9917,0.9917,1.0014,0.9954,1.0209,0.9979,0.9969,0.9862,0.9917,1.0133,1.0209,0.9954
